"record_type","timestamp","symbol","side","entry_price","exit_price","size","gross_pnl","commission","net_pnl","duration_sec","reason","win_rate","regime","order_id","order_type","price","strength","filters_passed","executed","status","fill_price","fill_size","execution_time_ms","slippage","event_type","data"
"signals","2025-12-22T22:14:28.079731","ETH-USDT","buy","","","","","","","","","","ranging","","","2982.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:15:34.343131","BTC-USDT","buy","","","","","","","","","","ranging","","","88253.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:15:34.343131","ETH-USDT","buy","","","","","","","","","","ranging","","","2983.44000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:16:34.544061","BTC-USDT","buy","","","","","","","","","","ranging","","","88264.10000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:16:34.544061","ETH-USDT","buy","","","","","","","","","","ranging","","","2985.01000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:17:36.091452","BTC-USDT","buy","","","","","","","","","","ranging","","","88289.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:18:36.263928","BTC-USDT","buy","","","","","","","","","","ranging","","","88380.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:19:43.107030","BTC-USDT","buy","","","","","","","","","","ranging","","","88382.60000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:20:43.993576","BTC-USDT","buy","","","","","","","","","","ranging","","","88390.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:21:46.064661","BTC-USDT","buy","","","","","","","","","","ranging","","","88318.40000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:22:46.163281","BTC-USDT","buy","","","","","","","","","","ranging","","","88334.30000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:23:47.620027","BTC-USDT","buy","","","","","","","","","","ranging","","","88368.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:26:49.466540","ETH-USDT","buy","","","","","","","","","","ranging","","","2990.21000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:28:08.111286","ETH-USDT","buy","","","","","","","","","","ranging","","","2991.81000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:29:11.094905","ETH-USDT","buy","","","","","","","","","","ranging","","","2990.31000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
