symbol,regime,category,name,count,min,max,mean,values
XRP,trending,indicator,MACD,2,-0.0005,0.0001,-0.0002,
XRP,trending,indicator,MACD_signal,2,-0.0006,-0.0004,-0.0005,
XRP,trending,indicator,MACD_hist,2,0.0001,0.0005,0.00030000000000000003,
XRP,trending,indicator,ADX,2,29.39,35.25,32.32,
XRP,trending,indicator,+DI,2,62.28,91.04,76.66,
XRP,trending,indicator,-DI,2,8.96,37.72,23.34,
XRP,trending,indicator,ATR,2,0.00071491,0.00122706,0.0009709850000000001,
XRP,trending,indicator,EMA12,2,2.1,2.1,2.1,
XRP,trending,indicator,EMA26,2,2.1,2.1,2.1,
XRP,trending,indicator,BB_upper,2,2.1,2.1,2.1,
XRP,trending,indicator,BB_middle,2,2.1,2.1,2.1,
XRP,trending,indicator,BB_lower,2,2.1,2.1,2.1,
BTC,ranging,trend,regime_selected,1039,,,,
BTC,trending,trend,regime_selected,18,,,,
DOGE,ranging,trend,regime_selected,997,,,,
ETH,ranging,trend,regime_selected,1060,,,,
ETH,trending,trend,regime_selected,9,,,,
SOL,ranging,trend,regime_selected,1040,,,,
SOL,trending,trend,regime_selected,1,,,,
XRP,ranging,trend,regime_selected,996,,,,
XRP,trending,trend,regime_selected,2,,,,
BTC,ranging,trend,adx_trend_bearish,186,,,,
BTC,ranging,trend,adx_trend_bullish,5184,,,,
BTC,trending,trend,adx_trend_bearish,18,,,,
DOGE,ranging,trend,adx_trend_bearish,5276,,,,
ETH,ranging,trend,adx_trend_bearish,303,,,,
ETH,ranging,trend,adx_trend_bullish,5120,,,,
ETH,trending,trend,adx_trend_bearish,9,,,,
SOL,ranging,trend,adx_trend_bearish,57,,,,
SOL,ranging,trend,adx_trend_bullish,5243,,,,
SOL,trending,trend,adx_trend_bullish,1,,,,
XRP,ranging,trend,adx_trend_bearish,5280,,,,
XRP,ranging,trend,adx_trend_bullish,163,,,,
XRP,trending,trend,adx_trend_bullish,2,,,,
BTC,,anomaly,ADX_zero_in_reasons,5171,,,,
ETH,,anomaly,ADX_zero_in_reasons,5114,,,,
SOL,,anomaly,ADX_zero_in_reasons,24,,,,
XRP,,anomaly,ADX_zero_in_reasons,4,,,,
BTC,,param,min_adx,5171,20.0,20.0,20.0,20.0
BTC,,param,ma_diff,5171,0.013,0.029,0.027727905627538192,0.013;0.014;0.015;0.016;0.017;0.028;0.029
BTC,,param,ma_min,5171,0.1,0.1,0.1,0.1
DOGE,,param,ATR_period,5495,5.0,5.0,5.0,5.0
DOGE,,param,RSI_period,5495,7.0,7.0,7.0,7.0
DOGE,,param,EMA_12_period,5495,6.0,6.0,6.0,6.0
DOGE,,param,EMA_26_period,5495,13.0,13.0,13.0,13.0
DOGE,,param,MACD_fast,5495,6.0,6.0,6.0,6.0
DOGE,,param,MACD_slow,5495,13.0,13.0,13.0,13.0
DOGE,,param,BB_period,5495,10.0,10.0,10.0,10.0
DOGE,,param,BB_std,5495,1.5,1.5,1.5,1.5
ETH,,param,MACD_fast,5495,10.0,10.0,10.0,10.0
ETH,,param,MACD_slow,5495,22.0,22.0,22.0,22.0
ETH,,param,min_adx,5114,20.0,20.0,20.0,20.0
ETH,,param,ma_diff,5114,0.031,0.074,0.07257763003519749,0.031;0.032;0.035;0.036;0.038;0.073;0.074
ETH,,param,ma_min,5114,0.1,0.1,0.1,0.1
SOL,,param,min_adx,24,20.0,20.0,20.0,20.0
SOL,,param,ma_diff,24,0.064,0.082,0.0725,0.064;0.071;0.072;0.073;0.082
SOL,,param,ma_min,24,0.1,0.1,0.10000000000000002,0.1
XRP,,param,ATR_period,5495,7.0,7.0,7.0,7.0
XRP,,param,RSI_period,5495,10.0,10.0,10.0,10.0
XRP,,param,EMA_12_period,5495,8.0,8.0,8.0,8.0
XRP,,param,EMA_26_period,5495,17.0,17.0,17.0,17.0
XRP,,param,MACD_fast,5495,8.0,8.0,8.0,8.0
XRP,,param,MACD_slow,5495,17.0,17.0,17.0,17.0
XRP,,param,BB_period,5495,15.0,15.0,15.0,15.0
XRP,,param,BB_std,5495,1.8,1.8,1.8,1.8
XRP,,param,min_adx,4,20.0,20.0,20.0,20.0
XRP,,param,ma_diff,4,0.029,0.029,0.029,0.029
XRP,,param,ma_min,4,0.1,0.1,0.1,0.1
